"Variable Name","Schema System","Schema ID","BRICS DE PV","Schema DE Name","Schema PV","Schema PV ID"
"AUDITMornDrnkAftDrnkFreqScore","NINDS","C07085","","Pending","",""
"DiaryCrampsSevScale","NINDS","C10634","","Pending","",""
"ImPACTStudentPerfType","NINDS","C21367","","Pending","",""
"ARICTIAMedHistMonthVal","NINDS","C13336","","Pending","",""
"PulmnryFunctTstNotDoneOTH","NINDS","C18833","","Pending","",""
"CMSExhibitLethargyFreqScl","NINDS","C50030","","Pending","",""
"PIMSStblSymptmFinSecScale","NINDS","C10216","","Pending","",""
"HDRSErlyMornInsmnInd","NINDS","C09372","","Pending","",""
"RFQWrkExposMxdAppld4655AgeInd","NINDS","C09069","","Pending","",""
"VisAnalyResltOthrTxt","NINDS","C18046","","Pending","",""
"PregTestDateTime","NINDS","C01702","","Pending","",""
"HAMAFearScore","NINDS","C09345","","Pending","",""
"TOMMRetentionTQ50Score","NINDS","C21098","","Pending","",""
"CHARTSFUnpdPhysAssstncHrVal","NINDS","C07113","","Pending","",""
"FamHistMembMedclCondNum","NINDS","C12663","","Pending","",""
"SensySysAbnrmlyStockPresTxt","NINDS","C18517","","Pending","",""
"FAISIsoPeopleInteractScale","NINDS","C12123","","Pending","",""
"NSiSenstvNoisScore","NINDS","C07332","","Pending","",""
"NSiSenstvNoisScore","NINDS","C07332","","Pending","",""
"HemoglobMeasr","NINDS","C14052","","Pending","",""
"ActivityDescription","NINDS","C19144","","Pending","",""
"NMSSAttnMemTotalScore","NINDS","C10124","","Pending","",""
"QoLStgmIlnssSpchEmbrsmntRctScl","NINDS","C21311","","Pending","",""
"PreSpnlCrdLsnEncrnCndnDiagOTH","NINDS","C19201","","Pending","",""
"MSAuntDiagTtlCt","NINDS","C17451","","Pending","",""
"ASApthCommTxt","NINDS","C09300","","Pending","",""
"VAToxScaleOthNeuroToxDescTxt","NINDS","C13295","","Pending","",""
"PolysmngrphyHRMeasrGrade","NINDS","C12461","","Pending","",""
"OCTDiffrnceAvgOvrRFNLThickMeas","NINDS","C15324","","Pending","",""
"MacroExamFixedBrainSource","NINDS","C14972","","Pending","",""
"HeadachAvgUntrtDur","NINDS","C15956","","Pending","",""
"PROMISFeltIrritablPoorSlpScale","NINDS","C20848","","Pending","",""
"ImgRandTchTyp","NINDS","C15603","","Pending","",""
"RFQWrkDieldrnProdUse66OnAgeInd","NINDS","C09222","","Pending","",""
"EMSDispatchDateTime","NINDS","C14201","","Pending","",""
"CHATBringObjectShowInd","NINDS","C13110","","Pending","",""
"TransfusionInd","NINDS","C05147","","Pending","",""
"PBASDelusParanThnkSevScore","NINDS","C17214","","Pending","",""
"UPDRSBodBradHypScale","NINDS","C09916","","Pending","",""
"NOSTBISmellScl","NINDS","C20673","","Pending","",""
"RespManualPercssnUseFreq","NINDS","C12332","","Pending","",""
"LOCBlvWhetPplLkeDepndActInd","NINDS","C51603","","Pending","",""
"LOCBlvWhetPplLkeDepndActInd","NINDS","C51603","","Pending","",""
"EEGPDRNormalAgeStatus","NINDS","C17428","","Pending","",""
"NICUStayInd","NINDS","C12628","","Pending","",""
"SCOPAAUTPerspiredExcessNghtInd","NINDS","C10359","","Pending","",""
"RFQWrkFungicdUse5665AgeInd","NINDS","C09152","","Pending","",""
"TOMMRetentionTQ13Score","NINDS","C21031","","Pending","",""
"SWALQOLRarRealztnHugrInd","NINDS","C10279","","Pending","",""
"MRNAAnlysisPerfInd","NINDS","C12802","","Pending","",""
"RltvTypPDPrksmOtrNroDsdrMemNum","NINDS","C08005","","Pending","",""
"StrokDisMedCat","NINDS","C14637","","Pending","",""
"ImgOthrCorticalAbnrmlySiteTyp","NINDS","C12487","","Pending","",""
"FARSNEUpStbStncFtTgthrTry2Dur","NINDS","C11791","","Pending","",""
"TempMeasrAntmicSite","NINDS","C01550","","Pending","",""
"EchcrdgrmLftAtrlVolmMeasr","NINDS","C12865","","Pending","",""
"TOMMT1Q41Score","NINDS","C20894","","Pending","",""
"BESSFootTestAnatSite","NINDS","C20804","","Pending","",""
"FAISMoodUpsetFeelScale","NINDS","C12134","","Pending","",""
"DynmtryHandHldNoResltRsn","NINDS","C10872","","Pending","",""
"SCOPACOGSemntcFluencyAnmlName","NINDS","C10384","","Pending","",""
"MACEDlydRcllScore","NINDS","C07272","","Pending","",""
"TOMMT2Q48Score","NINDS","C21003","","Pending","",""
"MAQUINALegPedalTimeVal","NINDS","C11879","","Pending","",""
"CNSLSFineTearfulScale","NINDS","C11623","","CNSLSFineTearfulScale","",""
"CNSLSFineTearfulScale","NINDS","C11623","","CNSLSFineTearfulScale","",""
"CNSLSFineTearfulScale","NINDS","C11623","","Pending","",""
"CNSLSFineTearfulScale","NINDS","C11623","","Pending","",""
"TestAssyReslt","NINDS","C12781","","Pending","",""
"FFQFridStirFridOilSateedHmInd","NINDS","C09863","","Pending","",""
"RFQRegTknAsprn6MonInd","NINDS","C08543","","Pending","",""
"ELQRCSmiEpiScore","NINDS","C11726","","Pending","",""
"BPRSUnusualThoughtContentScore","NINDS","C09604","","Pending","",""
"SWALQOLFrChokFdProbInd","NINDS","C10300","","Pending","",""
"MACEDlydRcllCarptScore","NINDS","C18452","","Pending","",""
"QoLOutsdeHmEntrtnmtLmtAbltyScl","NINDS","C21177","","Pending","",""
"StimBrainParamPlsWdthRng","NINDS","C08054","","Pending","",""
"FastBeforeLabTestInd","NINDS","C10564","","Pending","",""
"SWALQOLCghStkFdLiqOtMthProbInd","NINDS","C10295","","Pending","",""
"LstStdyIntrvntDateTime","NINDS","C02200","","Pending","",""
"MSSSConfdeFreq","NINDS","C14721","","Pending","",""
"MSSSConfdeFreq","NINDS","C14721","","Pending","",""
"IntracrbrlHmrrhgHmrrCompVolMsr","NINDS","C02443","","Pending","",""
"BiospecmnFragCollctCt","NINDS","C12277","","Pending","",""
"FARSPrphNrvSysVibSenFngrRtDur","NINDS","C17532","","Pending","",""
"FARSNeuExULCNoseFingrRtScore","NINDS","C11756","","Pending","",""
"SurgVNSImplantInd","NINDS","C14336","","Pending","",""
"PDDOCMERQAge010StateProvLoc","NINDS","C10223","","Pending","",""
"GastroTractSurgProcedOTH","NINDS","C19094","","Pending","",""
"BRCStiffLimbWakeEarlyInd","NINDS","C16660","","Pending","",""
"PDDOCMERQOvrRemvlYrDate","NINDS","C10265","","Pending","",""
"NMSSVoidFreq","NINDS","C10139","","Pending","",""
"MPAI4PreDrugUseScale","NINDS","C07309","","Pending","",""
"HSSHouseMembHdacheOccWkFreq","NINDS","C13491","","Pending","",""
"GOSEExtntRestrctSocPreInjrInd","NINDS","C18417","","Pending","",""
"HemorrhageSingMultiEvntCat","NINDS","C15095","","Pending","",""
"ImgInterpolationInd","NINDS","C10590","","Pending","",""
"MedctnPriorConcomDoseUo","NINDS","C02022","","Pending","",""
"MuscStrAbnrmlyAssmtInd","NINDS","C14447","","Pending","",""
"SWALQOLLngEatngPerdInd","NINDS","C10280","","Pending","",""
"CardMRILftVentPstrThcknssMeasr","NINDS","C12846","","Pending","",""
"SSSOnePrimrySxlPrtnrInd","NINDS","C14829","","Pending","",""
"MidlneShftSuprtentorialMeasr","NINDS","C02454","","Pending","",""
"SurgPostopAlterStateComplicTxt","NINDS","C18584","","Pending","",""
"GOSECrrntProbInd","NINDS","C18414","","Pending","",""
"EEGAbnrmlInd","NINDS","C17429","","Pending","",""
"PolysmngrphyETCO2MeasrInd","NINDS","C12448","","Pending","",""
"RFQWrkZiramProdUse5665AgeInd","NINDS","C09158","","Pending","",""
"MFISPsychosocialSubScore","NINDS","C11932","","Pending","",""
"PDMS2WlkFwd8FtHandsHipsScl","NINDS","C51373","","Pending","",""
"PDMS2WlkFwd8FtHandsHipsScl","NINDS","C51373","","Pending","",""
"STOPCollrSzTyp","NINDS","C18114","","Pending","",""
"RFQLngstOcuptn2635YrFrstDtyTxt","NINDS","C08616","","Pending","",""
"DefctnPstFourWkAvgDurFreq","NINDS","C06191","","Pending","",""
"RFQFungicdExpos3645AgeFreq","NINDS","C08858","","Pending","",""
"BPRSMotorRetardationScore","NINDS","C09602","","Pending","",""
"HospLocPatFirstReceiveCarTyp","NINDS","C14196","","Pending","",""
"DelivrConditnHypotoniaGrade","NINDS","C12631","","Pending","",""
"ScannerMagFieldOthStrgthVal","NINDS","C17948","","Pending","",""
"DisabilityApplicStatus","NINDS","C14118","","Pending","",""
"SCAREDPrnAnxScl","NINDS","C50047","","Pending","",""
"SCAREDPrnAnxScl","NINDS","C50047","","Pending","",""
"QoLStgmIlnssNewFrndAvdRcntScl","NINDS","C21314","","Pending","",""
"MPAI4PreAlcUseScale","NINDS","C07307","","Pending","",""
"RFQResHxAge66OvrResdncCntryTxt","NINDS","C08725","","Pending","",""
"SubarachHemBasalPartScore","NINDS","C14251","","Pending","",""
"RFQUseFreonInd","NINDS","C08761","","Pending","",""
"ARICTIAStrokeSudDizzInd","NINDS","C13439","","Pending","",""
"CortLaminarNecSingMultiTxt","NINDS","C15100","","Pending","",""
"EndocrineHistDiabetesMellInd","NINDS","C17482","","Pending","",""
"GeneTarMutAnlysisTyp","NINDS","C12797","","Pending","",""
"PulmGasExchngAssmtPerfLoc","NINDS","C12408","","Pending","",""
"PLCCEmtnllyNumbInd","NINDS","C07385","","Pending","",""
"RFQHgtAge25Val","NINDS","C08821","","Pending","",""
"PediatRiskMortalScore","NINDS","C07460","","Pending","",""
"NHANESCSQCheSysSmeProbConsTyp","NINDS","C50713","","Pending","",""
"NHANESCSQCheSysSmeProbConsTyp","NINDS","C50713","","Pending","",""
"QoLOutsdeEntrtnmntWntStfctnScl","NINDS","C21176","","Pending","",""
"VAToxScaleHematInd","NINDS","C13254","","Pending","",""
"BVMTRTtlRecallRawScore","NINDS","C20457","","Pending","",""
"ImgRNFLThiTemQuadAbnrmlStatus","NINDS","C15380","","Pending","",""
"AdoptedAgeVal","NINDS","C16150","","Pending","",""
"TICIPerfScaleGrade","NINDS","C13891","","Pending","",""
"SWALQOLSwllwngProbNtGoOtInd","NINDS","C10309","","Pending","",""
"PROMISSatsfyAbiFunAtHomeScale","NINDS","C20751","","Pending","",""
"OCTSignalStrgthVal","NINDS","C15327","","Pending","",""
"UPDRSOffAvgScale","NINDS","C09924","","Pending","",""
"ProtocolDeviatnOccurDateTime","NINDS","C02204","","Pending","",""
"BrAtSubthalNucNeurLossSevReslt","NINDS","C15048","","Pending","",""
"SpectroscopyPostPrResidWRemInd","NINDS","C10965","","Pending","",""
"PCLSLossInterestInd","NINDS","C07417","","Pending","",""
"RCADSNotMuchFunAnymoreScale","NINDS","C21532","","Pending","",""
"HMQAvgSlowTskCompletTime","NINDS","C17176","","Pending","",""
"RFQUseHoltMeltAdhesivesInd","NINDS","C08741","","Pending","",""
"PregTestPerfInd","NINDS","C10896","","Pending","",""
"PROMISDayActDstrbPoorSlpScale","NINDS","C20847","","Pending","",""
"AdvrsEvntRepIdName","NINDS","C20407","","Pending","",""
"ElctphysMeanCircReslt","NINDS","C12754","","Pending","",""
"ImgVisAnlysisPerfrmInd","NINDS","C15555","","Pending","",""
"ImgBrainVolFractTechOTH","NINDS","C19003","","Pending","",""
"VesicouretericReflexInd","NINDS","C18139","","Pending","",""
"RFQYrNtRegWldBrzFlmCtMtlInd","NINDS","C08777","","Pending","",""
"QoLWorkHomeLimitCompleteScl","NINDS","C21186","","Pending","",""
"BRCNghtCrampLimbWakupInd","NINDS","C16659","","Pending","",""
"RespSupNePressrDevDelMethTyp","NINDS","C12378","","Pending","",""
"SWALQOLCoughngProbInd","NINDS","C10282","","Pending","",""
"StimBrainParamMonoplrRng","NINDS","C08049","","Pending","",""
"RCM3StdyPnMidRghtSdUpAbdmnFreq","NINDS","C09448","","Pending","",""
"OSUTBIMSLongKnockOutTime","NINDS","C18060","","Pending","",""
"IVHVolMeasr","NINDS","C02445","","Pending","",""
"ImgAbnrmlyFeatureOTH","NINDS","C18897","","Pending","",""
"ALSSSSwllwScore","NINDS","C11968","","Pending","",""
"SpecMetOTH","NINDS","C18752","","Pending","",""
"QUIPHoardHidIncrsMedctnInd","NINDS","C17256","","Pending","",""
"TOMMT1Q1Score","NINDS","C20854","","Pending","",""
"PLCCActvtsInd","NINDS","C07381","","Pending","",""
"BowelCrPostnPstThrMoTyp","NINDS","C06224","","Pending","",""
"MSSSHugFreq","NINDS","C14722","","Pending","",""
"MSSSHugFreq","NINDS","C14722","","Pending","",""
"PDDOCMERQAge010ZipCode","NINDS","C10224","","Pending","",""
"ElevatCreatinKinasVal","NINDS","C17902","","Pending","",""
"MobilityDeviceOTH","NINDS","C19154","","Pending","",""
"MuscBiopLimbAffctClinTxt","NINDS","C17830","","Pending","",""
"CGBSEmbarrsRelatBehvScale","NINDS","C11581","","Pending","",""
"OSUTBIMSAskQuestionCat","NINDS","C07459","","Pending","",""
"NprscrCntrPschacDrgSbStmAmpTxt","NINDS","C17685","","Pending","",""
"ImgMRIPerfMultiCt","NINDS","C12468","","Pending","",""
"PROMISSleepWasLightScale","NINDS","C20806","","Pending","",""
"PDDOCMERQAge2140CtyLoc","NINDS","C10230","","Pending","",""
"FARSNeuroBulbrSpontSpeechScore","NINDS","C11752","","Pending","",""
"PDNMSIntnsVvdFrightenDreamInd","NINDS","C17339","","Pending","",""
"HeadachWorsDurngActvtyInd","NINDS","C15961","","Pending","",""
"BioSampReposSpecmnTyp","NINDS","C16195","","Pending","",""
"ImgDiffusionOTH","NINDS","C18695","","Pending","",""
"UPDRSSlpDisInd","NINDS","C09926","","Pending","",""
"DevLeadTyp","NINDS","C14521","","Pending","",""
"ImgStandrdAvgBrnTxt","NINDS","C15611","","Pending","",""
"NIAReaganInNeuropathCritScale","NINDS","C08162","","Pending","",""
"CardioHistArrhythAtrialFibInd","NINDS","C17466","","Pending","",""
"SurgLeadSecurMethdTyp","NINDS","C08041","","Pending","",""
"PedsQLInfScaSocFunNoLaCudScl","NINDS","C50418","","Pending","",""
"PedsQLInfScaSocFunNoLaCudScl","NINDS","C50418","","Pending","",""
"PDMS2BodyLowerStandSitScl","NINDS","C51323","","Pending","",""
"PDMS2BodyLowerStandSitScl","NINDS","C51323","","Pending","",""
"RFQUsedAdhesives100DaysInd","NINDS","C08733","","Pending","",""
"FBIInattentionScore","NINDS","C11849","","Pending","",""
"PDMS2TrunkAlignScl","NINDS","C51271","","Pending","",""
"PDMS2TrunkAlignScl","NINDS","C51271","","Pending","",""
"CardiacPacemkrLstInsertionDate","NINDS","C19171","","Pending","",""
"RFQSignfcntInjSxAdmYrAgeVal","NINDS","C16626","","Pending","",""
"ImPACTTreatHeadPhysicianInd","NINDS","C21378","","Pending","",""
"SexSubjectGenotypTyp","NINDS","C17396","","Pending","",""
"FAISBodMoveBalLosStandingScale","NINDS","C12032","","Pending","",""
"HMQMedWrkQuickScale","NINDS","C17156","","Pending","",""
"FFQVitCDur","NINDS","C09664","","Pending","",""
"StrokeAdjudWkStrkTIAOthSymOTH","NINDS","C18885","","Pending","",""
"PedsQLInfSclPhysSymConsScl","NINDS","C50398","","Pending","",""
"PedsQLInfSclPhysSymConsScl","NINDS","C50398","","Pending","",""
"WTARUbiquitousScore","NINDS","C20665","","Pending","",""
"SkiThermPressrUlcSurgTrtInd","NINDS","C06377","","Pending","",""
"GITherapyFeedScheduleTableNum","NINDS","C12209","","Pending","",""
"GOATTotalScore","NINDS","C07192","","Pending","",""
"EEGImgQualityReslt","NINDS","C14600","","Pending","",""
"PCLSPhysicalReactionsInd","NINDS","C07413","","Pending","",""
"RFQOthrWrkPstcdExpsBrth25AgInd","NINDS","C08912","","Pending","",""
"NTSCIAetioAx1LevFiveClassCat","NINDS","C06466","","Pending","",""
"NTSCIAetioAx1LevFiveClassCat","NINDS","C06466","","Pending","",""
"TherapBrainStimPulsePolarTyp","NINDS","C14358","","Pending","",""
"PedsQLFIMCommOthDntUndrstndScl","NINDS","C50325","","Pending","",""
"PedsQLFIMCommOthDntUndrstndScl","NINDS","C50325","","Pending","",""
"ImgModltyVesselImgAngioTyp","NINDS","C13879","","Pending","",""
"TissAbnrmlyMyelnAxnDecreasStat","NINDS","C12281","","Pending","",""
"HMQIncmplHsWrkDayNum","NINDS","C17035","","Pending","",""
"WgtHgtRatioVal","NINDS","C15902","","Pending","",""
"OLOGTodaysDateScore","NINDS","C20539","","Pending","",""
"RFQAge1825ResHxResDur","NINDS","C08671","","Pending","",""
"CranlNerveGlobAssmtOTH","NINDS","C18932","","Pending","",""
"RFQWrkOthrHrbicdUse4655IAgend","NINDS","C09093","","Pending","",""
"WTARBalletScore","NINDS","C20631","","Pending","",""
"PROMISSatsfyAbiRunErrandsScale","NINDS","C20771","","Pending","",""
"PregFetDignstcTestDate","NINDS","C16063","","Pending","",""
"ASSISTTobaccoProductUseFreq","NINDS","C07010","","Pending","",""
"MenstrualPrdOcurInd","NINDS","C16170","","Pending","",""
"RCM3UnblFinshRegSzMeal6MnthInd","NINDS","C09391","","Pending","",""
"CystogramDate","NINDS","C18133","","Pending","",""
"PDMS2LaceStringScl","NINDS","C51499","","Pending","",""
"PDMS2LaceStringScl","NINDS","C51499","","Pending","",""
"PedsQLGenWBSclGetSupprtScl","NINDS","C50364","","Pending","",""
"PedsQLGenWBSclGetSupprtScl","NINDS","C50364","","Pending","",""
"TSTRoomTempUOM","NINDS","C10184","","Pending","",""
"VaccTyp","NINDS","C16187","","Pending","",""
"RFQWrkDieldrnProdUse3645AgeInd","NINDS","C09051","","Pending","",""
"WTARAestheticScore","NINDS","C20636","","Pending","",""
"QoLWeakAllOverScale","NINDS","C20573","","Pending","",""
"NMSSDfcltySleepFreq","NINDS","C10080","","Pending","",""
"GeneCodingRegionSeqInd","NINDS","C12795","","Pending","",""
"BrAtNeLosFibAstCauNuAntmicSite","NINDS","C15035","","Pending","",""
"RFQAge2635SlpDurInd","NINDS","C08648","","Pending","",""
"RCFTRecogntionFalsNegativScore","NINDS","C20913","","Pending","",""
"VolunteerWorkHourWeekCt","NINDS","C19483","","Pending","",""
"RFQWkDisposbleCoverallUseInd","NINDS","C09249","","Pending","",""
"AthrsclrtcVasclrPthlgySvrtyScl","NINDS","C08183","","Pending","",""
"AlcohlLstMoConsmOvr5DrnkDayNum","NINDS","C00733","","Pending","",""
"NSIHearngImprmntScore","NINDS","C07331","","Pending","",""
"NSIHearngImprmntScore","NINDS","C07331","","Pending","",""
"PolysmngrphySpO2DistPctVal","NINDS","C12439","","Pending","",""
"LIFEHallucInd","NINDS","C13331","","Pending","",""
"PROMISFltLikeBrkingThngsScale","NINDS","C20711","","Pending","",""
"RespOthrAirClMethdSessTime","NINDS","C12362","","Pending","",""
"PedsQLInfSclPhysFunLetScl","NINDS","C50391","","Pending","",""
"PedsQLInfSclPhysFunLetScl","NINDS","C50391","","Pending","",""
"RFQWrkOthrInsctcdUs66OnAgeInd","NINDS","C09228","","Pending","",""
"ImgMRBasedIDPenumbraVolMeasr","NINDS","C13867","","Pending","",""
"NMSSFlatMoodSevScore","NINDS","C10098","","Pending","",""
"CardMRIMyocardScrReslt","NINDS","C12855","","Pending","",""
"PDMS2GraspScaleStdScore","NINDS","C51494","","Pending","",""
"PDMS2GraspScaleStdScore","NINDS","C51494","","Pending","",""
"CHARTSFReimbrsdMedCrExpnsInd","NINDS","C07132","","Pending","",""
"ImPACTPCSSDrowsinessScore","NINDS","C21417","","Pending","",""
"HBIChldRoomSpinScale","NINDS","C07208","","Pending","",""
"NABEFMazeForm1CommNoteTxt","NINDS","C50704","","Pending","",""
"NABEFMazeForm1CommNoteTxt","NINDS","C50704","","Pending","",""
"MACEOrientScore","NINDS","C07268","","Pending","",""
"MSSSRelxtnFreq","NINDS","C14723","","Pending","",""
"MSSSRelxtnFreq","NINDS","C14723","","Pending","",""
"NMSSDzyFreqSevVal","NINDS","C10068","","Pending","",""
"GITherapFeedTubPlcmntMethdTyp","NINDS","C12205","","Pending","",""
"CerbllCoordAssmtAbnrmlyPresOTH","NINDS","C18943","","Pending","",""
"NHANESCSQCheSysTasCoBitCondTyp","NINDS","C50719","","Pending","",""
"NHANESCSQCheSysTasCoBitCondTyp","NINDS","C50719","","Pending","",""
"TissSpecmnSectnQuantfyTyp","NINDS","C12289","","Pending","",""
"ImPACTXOInterTotCorrCt","NINDS","C21446","","Pending","",""
"CGBSPhyEnvirTroubCareRelatScl","NINDS","C11579","","Pending","",""
"QUIPCSMedctnUsDifcltInd","NINDS","C17290","","Pending","",""
"CardiovHltExmVenCntrtCntVal","NINDS","C12934","","Pending","",""
"FARSPrphrlNrvPosSenseLftScore","NINDS","C11779","","Pending","",""
"RFQMetalDustFume2WrkArndTxt","NINDS","C08813","","Pending","",""
"ARICTIAStrokeSpeeLossInd","NINDS","C13338","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"ArtrScalersisSevScl","NINDS","C08184","","Pending","",""
"RCADSRestlessScale","NINDS","C21575","","Pending","",""
"MACEConcRcll526FormBScore","NINDS","C18445","","Pending","",""
"PDMS2ProtectReactForwardScl","NINDS","C51265","","Pending","",""
"PDMS2ProtectReactForwardScl","NINDS","C51265","","Pending","",""
"NSIConctrtnImprmntScore","NINDS","C07336","","Pending","",""
"NSIConctrtnImprmntScore","NINDS","C07336","","Pending","",""
"CASEChldComtySuprtEncLackScl","NINDS","C50430","","Pending","",""
"CASEChldComtySuprtEncLackScl","NINDS","C50430","","Pending","",""
"MNAMidarmCircmfrnceScore","NINDS","C10061","","Pending","",""
"PDDOCMERQCrrntSmkCigsPerDayNum","NINDS","C10259","","Pending","",""
"UrCultSeqNum","NINDS","C17415","","Pending","",""
"MuscWeakNeuropathWeakPresTxt","NINDS","C18507","","Pending","",""
"RFQMilSrvcCombInd","NINDS","C08593","","Pending","",""
"DAST10Scale","NINDS","C21343","","Pending","",""
"CardioHistArrhythAtrialFlutInd","NINDS","C17467","","Pending","",""
"ARICTIAStrokeSudParWRSFaInd","NINDS","C13426","","Pending","",""
"SCAREDHdacheSchlScl","NINDS","C50001","","Pending","",""
"SCAREDHdacheSchlScl","NINDS","C50001","","Pending","",""
"FAISADLSockShoePutOnScale","NINDS","C12085","","Pending","",""
"EchocrdLftVentrEndSystVolMeasr","NINDS","C12900","","Pending","",""
"ISIWakErMeasr","NINDS","C09379","","Pending","",""
"CarotidBruitTyp","NINDS","C13525","","Pending","",""
"FAISUpLimbFuncDoorOpenScale","NINDS","C12069","","Pending","",""
"GOSEPShpTrvlWoutAsstInd","NINDS","C20342","","Pending","",""
"SCOPASlpNghtErlyWkenPstMoScale","NINDS","C10407","","Pending","",""
"CBIRCnfsdUnuslSrrndngsFreqScr","NINDS","C11531","","Pending","",""
"NEIVFQDffcltyBillAccScale","NINDS","C14819","","Pending","",""
"PDDOCMERQLstYrUseDate","NINDS","C10268","","Pending","",""
"ImgFMRIAnlysisOTH","NINDS","C18894","","Pending","",""
"BpApExesIntracellLipSeverGrade","NINDS","C12266","","Pending","",""
"DRRI2CombatExpHostleIncFireScl","NINDS","C21349","","Pending","",""
"SF36TimesDownScore","NINDS","C08525","","Pending","",""
"HMQMissWrkTwoWklInd","NINDS","C17165","","Pending","",""
"BrthChildDateTime","NINDS","C16049","","Pending","",""
"TobcoUseStopAgeVal","NINDS","C00701","","Pending","",""
"HdachPainMedctnAftrStdyDrugInd","NINDS","C16211","","Pending","",""
"ImgEyeAbnrmlyTyp","NINDS","C12506","","Pending","",""
"MSQOLHlthDecScale","NINDS","C14767","","Pending","",""
"SeizDiaryDateTime","NINDS","C10626","","Pending","",""
"ImgAnlysisSftwrVrsnNum","NINDS","C10843","","Pending","",""
"SpecmnSourcTyp","NINDS","C12226","","Pending","",""
"HMQStpMyslfScore","NINDS","C17122","","Pending","",""
"RFQTknVpmlClnCvrHSIsptnVrlnRsn","NINDS","C08575","","Pending","",""
