"variable name","title","element type","definition","short description","datatype","maximum character quantity","input restriction","minimum value","maximum value","permissible values","permissible value descriptions","permissible value output codes","unit of measure","guidelines/instructions","notes","preferred question text","keywords","references","external ID.LOINC","external ID.SNOMED","external ID.caDSR","external ID.CDISC","external ID.NINDS","population.all","domain.general (for all diseases)","domain.traumatic brain injury","domain.Parkinson's disease","domain.Friedreich's ataxia","domain.stroke","domain.amyotrophic lateral sclerosis","domain.Huntington's disease","domain.multiple sclerosis","domain.neuromuscular diseases","domain.myasthenia gravis","domain.spinal muscular atrophy","domain.Duchenne muscular dystrophy/Becker muscular dystrophy","domain.congenital muscular dystrophy","domain.spinal cord injury","domain.headache","domain.epilepsy","classification.general (for all diseases)","classification.acute hospitalized","classification.concussion/mild TBI","classification.epidemiology","classification.moderate/severe TBI: rehabilitation","classification.Parkinson's disease","classification.Friedreich's ataxia","classification.stroke","classification.amyotrophic lateral sclerosis","classification.Huntington's disease","classification.multiple sclerosis","classification.neuromuscular diseases","classification.myasthenia gravis","classification.spinal muscular atrophy","classification.Duchenne muscular dystrophy/Becker muscular dystrophy","classification.congenital muscular dystrophy","classification.spinal cord injury","classification.headache","classification.epilepsy","historical notes","Label(s)","see also","submitting organization name","submitting contact name","submitting contact information","effective date","until date","steward organization name","steward contact name","steward contact information"
"GCSTotalScore","Glasgow Coma Scale (GCS) - total score","Common Data Element","Glasgow Coma Scale (GCS) - Total Score. The GCS is a standardized instrument for assessing the level of consciousness. It evaluates three aspects of responsiveness: eye opening, motor response, verbal response. The total score is the sum of the scores for the three response types. (3-15)","Glasgow Coma Scale (GCS) - Total Score. The GCS is a standardized instrument for assessing the level of consciousness.","Alphanumeric",,"Single Pre-Defined Value Selected",,,"10;11;12;13;14;15;3;4;5;6;7;8;9;Unknown;Untestable","10;11;12;13;14;15;3;4;5;6;7;8;9;Unknown;Untestable","10;11;12;13;14;15;3;4;5;6;7;8;9;999;555",,"This element should be collected along with the other elements from the Glasgow Coma Scale (GCS). The minimum possible score on the GCS is 3 and the maximum possible score is 15. http: //www.glasgowcomascale.org/faq/  *Dealing with missing information: There are various different strategies for dealing with information that is missing because of factors interfering with assessment such as those described above. 1. Assess, communicate and make decisions using the remaining components. Although guidelines are often expressed in terms of a total GCS score, the trend in whichever of the components (eye, motor or verbal) can be assessed is still valuable. 2. Do not use number to record missing component; use Not testable . 3. Do not report a total score when a component is Not Testable because the score will be low and this could be confusing to medical colleagues. This may also imply that the patient is more unwell than they actually are. 4. It is possible using statistical methods to estimate a missing component from the findings in the other components. This is probably more relevant to research than clinical practice.",,"GCS Total Score","Core_TBI","Teasdale G, Jennett B. Assessment of coma and impaired consciousness. A practical scale. Lancet. Jul 1974;2(7872): 81-4. Marmarou A, Lu J, Butcher I, et al. Prognostic value of the Glasgow Coma Scale and pupil reactivity in traumatic brain injury assessed pre-hospital and on enrolment: an IMPACT analysis. J Neurotrauma. Feb 2007;24(2): 270-80. 
Stocchetti N, Pagan F, Calappi E, et al. Inaccurate early assessment of neurological severity in head injury. J Neurotrauma. Sep 2004: 21(9): 1131-40. Balestreri M, Czosnyka M, Chatfield DA, et al. Predictive value of Glasgow Coma Scale after brain trauma: change in trend over the past ten years. J Neurol Neurosurg Psychiatry. Jan 2004;75(1): 161-2.",,,,,"C01016","Adult and Pediatric","Disease/Injury Related Events.History of Disease/Injury Event;Assessments and Examinations.Physical/Neurological Examination","Assessments and Examinations.Physical/Neurological Examination",,,"Disease/Injury Related Events.History of Disease/Injury Event",,,,,,,,,,,,"Supplemental","Core","Core","Core","Core",,,"Supplemental",,,,,,,,,,,,"GCS Total score",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"GCSVerbalRspnsScale","Glasgow Coma Scale (GCS) - verbal response scale","Common Data Element","Score that describes the participant's verbal response according to the Glasgow Coma Scale (GCS)","Score that describes the participant's verbal response according to the Glasgow Coma Scale (GCS)","Alphanumeric",,"Single Pre-Defined Value Selected",,,"1;2;3;4;5;Unknown;Untestable","No verbal response/sounds;Incomprehensible sound;Inappropriate words;Confused;Oriented;Unknown;Untestable","1;2;3;4;5;0;555",,"Choose one. This element should be collected along with the other elements from the Glasgow Coma Scale (GCS). Intubation and severe facial/eye swelling or damage make it impossible to test the verbal and eye responses. In these circumstances, the score is given as 1 with a modifier attached e.g. 'E1S' where 's' = swollen, or 'V1t' where t = tube. A composite might be 'GCS 5tc'. This would mean, for example, eyes closed because of swelling = 1, intubated = 1, leaving a motor score of 3 for 'abnormal flexion'. Often the 1 is left out, so the scale reads Es or Vt.","When date/time data are prepared for aggregation or sharing they should be converted to the format specified by ISO 8601, YYYY-MM-DDThh:mm:ss.","Best verbal response","Core_TBI","Teasdale G, Jennett B. Assessment of coma and impaired consciousness. A practical scale. Lancet. Jul 1974;2(7872): 81-4. 
Marmarou A, Lu J, Butcher I, et al. Prognostic value of the Glasgow Coma Scale and pupil reactivity in traumatic brain injury assessed pre-hospital and on enrolment: an IMPACT analysis. J Neurotrauma. Feb 2007;24(2): 270-80. 
Stocchetti N, Pagan F, Calappi E, et al. Inaccurate early assessment of neurological severity in head injury. J Neurotrauma. Sep 2004: 21(9): 1131-40. 
Balestreri M, Czosnyka M, Chatfield DA, et al. Predictive value of Glasgow Coma Scale after brain trauma: change in trend over the past ten years. J Neurol Neurosurg Psychiatry. Jan 2004;75(1): 161-2.",,,,,"C01002","Adult and Pediatric","Disease/Injury Related Events.History of Disease/Injury Event;Assessments and Examinations.Physical/Neurological Examination","Assessments and Examinations.Physical/Neurological Examination",,,"Disease/Injury Related Events.History of Disease/Injury Event",,,,,,,,,,,,"Supplemental","Core","Core","Core","Core",,,"Supplemental",,,,,,,,,,,,"GCS Verbal response",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"GenderTyp","Gender Type","Common Data Element","Self-reported gender of the participant/subject. Gender is the socially constructed identity of sex. Gender is equated with phenotypic sex. Gender may differ from the sex of an individual determined genetically.","Self-reported gender of the participant/subject. Gender is the socially constructed identity of sex.","Alphanumeric",,"Single Pre-Defined Value Selected",,,"Female;Male;Not reported;Unknown;Unspecified","Female;Male;Not Reported;Unknown;Undifferentiated/Indeterminant/Intersex","1;2;222;999;555",,"Choose one. Response is obtained by report of the participant/subject or caretaker.","The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget Directive No. 15 (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm)","What is the subject's gender?","Core_TBI","The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget Directive No. 15 (http: //grants.nih.gov/grants/funding/women_min/guidelines_update.htm)",,,2200604,,"C00035","Adult and Pediatric","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Assessments and Examinations.Other Clinical Data;Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Disease/Injury Related Events.Classification;Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics;Assessments and Examinations.Other Clinical Data","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics",,,"N/A.N/A","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Core","Core","Core","Core","Core","Supplemental","Core","Core","Core","Supplemental","Core","Core","Core","Core",,,"Core","Core","Core","Gender type",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"GlasgowOutcomeScalExtScore","Glasgow Outcome Scale Extended (GOS-E) - Score","Common Data Element","Glasgow Outcome Scale Extended (1-8)","Glasgow Outcome Scale Extended (1-8)","Numeric Values",,"Single Pre-Defined Value Selected",,,"1;2;3;4;5;6;7;8","Dead;Vegetative State;Lower Severe Disability;Upper Severe Disability;Lower Moderate Disability;Upper Moderate Disability;Lower Good Recovery;Upper Good Recovery","1;2;3;4;5;6;7;8",,"Scoring: The patient's overall rating is based on the lowest outcome category indicated on the scale. Refer to Wilson (1998) for further information concerning administration and scoring","Glasgow Outcome Scale Extended (GOS-E) - scale","Score ","Core_TBI","Wilson JTL, Pettigrew LEL, Teasdale GM. Structured interviews for the Glasgow Outcome Scale and the Extended Glasgow Outcome Scale: Guidelines for their use. Journal of Neurotrauma 1998;15: 573-585.",,,,"GOSE112","C07194","Adult","Outcomes and End Points.Activities of Daily Living/Performance;Outcomes and End Points.Other Clinical Data","Outcomes and End Points.Global Outcome",,,,,,,,,,,,,,,"Supplemental","Core","Core","Core","Core",,,,,,,,,,,,,,,"Glasgow Outcome Scale Extended",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"ImgBrainAssessmtReslt","Imaging brain assessment result","Common Data Element","Result of the global assessment of brain imaging","Result of the global assessment of brain imaging","Alphanumeric",,"Single Pre-Defined Value Selected",,,"Abnormal;Normal;Not assessed;Unknown","Abnormal;Normal;Not assessed;Unknown","10;20;555;999",,"Choose one.",,"Brain imaging result (choose one)","Core_TBI","Duhaime AC, Gean AD, Haacke EM, Hicks R, Wintermark M, Mukherjee P, Brody D, Latour L, Riedy G; Common Data Elements Neuroimaging Working Group Members, Pediatric Working Group Members. Common data elements in radiologic imaging of traumatic brain injury. Arch Phys Med Rehabil. 2010 Nov;91(11): 1661-6. [DOI: 10.1016/j.apmr.2010.07.238] 
Haacke, E.M., Duhaime, A.C., Gean, A.D., Riedy, G., Wintermark, M., Mukherjee, P., Brody, D.L., DeGraba, T., Duncan, T.D., and Elovic, E. (2010). Common data elements in radiologic imaging of traumatic brain injury. Journal of Magnetic Resonance Imaging 32, 516-543, DOI: 10.1002/jmri.22259",,,,,"C02500","Adult and Pediatric","Assessments and Examinations.Imaging Diagnostics","Assessments and Examinations.Imaging Diagnostics",,,,,,,,,,,,,,,"Supplemental","Core","Core","Core","Core",,,,,,,,,,,,,,,"Brain imaging result",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"InjElapsedTime","Injury elapsed time","Common Data Element","The elapsed time (in minutes) from the time of injury","The elapsed time (in minutes) from the time of injury","Numeric Values",,"Free-Form Entry",0,,,,,"Minute","Indicate the time since injury occurred following definition provided per protocol. Note: Accurate determination of time since injury is critical for gauging patient progress and for assessing eligibility for acute phase studies. The need for TBI patients to be transferred from an initial receiving hospital to another hospital may delay definitive care and consequently impact outcome adversely, and longer transport times delay definitive treatment.",,,"Core_TBI","No references available",,,,,"C17404","Adult and Pediatric","Disease/Injury Related Events.History of Disease/Injury Event","Disease/Injury Related Events.History of Disease/Injury Event",,,,,,,,,,,,,,,"Supplemental","Core","Core","Core","Core",,,,,,,,,,,,,,,"Injury elapsed time",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"InjICDExtCauseCode","Injury ICD external cause code","Common Data Element","Code to classify the external cause of the injury","Code to classify the external cause of the injury","Alphanumeric",255,"Free-Form Entry",,,,,,,"Record as many as needed; please refer to http: //www.cdc.gov/nchs/icd.htm. Response is obtained from report by subject/participant (if possible), witnesses, first responders, family and/or medical records. The cause of injury is particularly important from an epidemiologic perspective, but may also be related to mechanism of injury and consequently type and extent of brain damage.","The cause of injury is particularly important from an epidemiologic perspective, but may also be related to mechanism of injury and consequently type and extent of brain damage. Data Sharing Instructions: Cause of injury data should be coded using ICD external cause of injury codes prior to aggregation or sharing.","and or ICD 9 CM e codes","Core_TBI","Butcher I, McHugh GS, Lu J, et al. Prognostic value of cause of injury in traumatic brain injury: results from the IMPACT study. J Neurotrauma. Feb 2007;24(2): 281-286. http: //www.icd9data.com",,,,,"C05421","Adult and Pediatric","Disease/Injury Related Events.History of Disease/Injury Event","Disease/Injury Related Events.History of Disease/Injury Event",,,,,,,,,,,,,,,"Supplemental","Core","Core","Core","Core",,,,,,,,,,,,,,,"Injury ICD-9-CM external cause code",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"LOCDurRang","Loss of consciousness duration range","Common Data Element","The range of duration of loss of consciousness the participant/subject experienced","The range of duration of loss of consciousness the participant/subject experienced","Alphanumeric",,"Single Pre-Defined Value Selected",,,"1-24 hours;1-29 minutes;14-20 days;1-5 hours;1-7 days;<1 minute;21-28 days;24 hours to 3 days;29-59 days;30-59 minutes;4-6 days;60-89 days;6-24 hours;>7 days;8-13 days;90 or more days;None;No return of consciousness prior to death or discharge;Unknown","1-24 hours;1-29 minutes;14-20 days;1-5 hours;1-7 days;<1 minute;21-28 days;24 hours to 3 days;29-59 days;30-59 minutes;4-6 days;60-89 days;6-24 hours;>7 days;8-13 days;90 or more days;None;No return of consciousness prior to death or discharge;Unknown","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;0;18;999",,"Choose one. Response is obtained from report by subject/participant or clinician. If clinically monitored, GCS or other assessment tool recommended.",,"Duration of loss of consciousness","Core_TBI","Menon D.K., Schwab K., Wright D.W., Maas A.I. (2010). Demographics and Clinical Assessment Working Group of the International and Interagency Initiative toward Common Data Elements for Research on Traumatic Brain Injury and Psychological Health. Position statement: definition of traumatic brain injury. Arch Phys Med Rehabil. 91(11): 1637-40. [DOI: 10.1016/j.apmr.2010.05.017] 
Carroll L. J., Cassidy J. D., Holm L., Kraus J., & Coronado V. G. (2004). Methodological issues and research recommendations for mild traumatic brain injury: the WHO Collaborating Centre Task Force on Mild Traumatic Brain Injury. Journal of Rehabilitation Medicine, (Suppl. 43), 113-125. 
Center for Disease Control and Prevention. (2003). Report to Congress on mild traumatic brain injury in the United States: Steps to prevent a serious public health problem. Atlanta: Centers for Disease Control and Prevention. 
Department of Veterans Affairs Office of Quality and Performance and Department of Defense Quality Management Directorate, U.S. Army Medical Command. (2009). VA/DoD clinical practice guidelines for management of concussion/mild traumatic brain injury. (www.healthquality.va.gov/mtbi/concussion_mtbi_full_1_0.pdf). 
Mild Traumatic Brain Injury Committee, A. C. o. R. M., Head Injury Interdisciplinary Special Interest Group. (1993). Definition of mild traumatic brain injury. Journal of Head Trauma Rehabilitation, 8(3): 86-87. 
American Academy of Pediatrics. (1999). The management of minor closed head injury in children. Pediatrics 104: 1407-1415. 
World Health Organization. (1992). The ICD-10 classification of mental and behavioral disorders: clinical descriptions and diagnostic guidelines. Geneva: World Health Organization. 
Yeates K.O. & Taylor H.G. (2005). Neurobehavioural outcomes of mild head injury in children and adolescents. Pediatric Rehabilitation, 8(1): 5-16. 
Ruff R.M., Iverson G.L., Barth J.T., Bush S.S., Broshek D.K., and the NAN Policy and Planning Committee (2009). Recommendations for Diagnosing a Mild Traumatic Brain Injury: A National Academy of Neuropsychology Education Paper. Archives of Clinical Neuropsychology 24: 3-10.",,,,,"C01053","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination","Assessments and Examinations.Physical/Neurological Examination",,,,,,,,,,,,,,,"Supplemental","Core","Core","Core","Core",,,,,,,,,,,,,,,"Loss of consciousness duration range",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"MedclHistCondSNOMEDCTCode","Medical history condition SNOMED CT code","Common Data Element","Systematized Nomenclature Of Medicine Clinical Terms (SNOMED CT) code for medical condition/disease reported by the participant/subject","Systematized Nomenclature Of Medicine Clinical Terms (SNOMED CT) code for medical condition/disease reported by the participant/subject","Alphanumeric",255,"Free-Form Entry",,,,,,,"Code each of the medical history conditions using SNOMED CT. Recommend collection at least during initial medical treatment. This element is recommended for Pediatric studies.","The verbatim text for the medical condition or disease reported in the medical history should be coded using SNOMED CT codes prior to data sharing. See SNOMED CT Codes (http://www.nlm.nih.gov/research/umls/Snomed/snomed_main.html)","SNOMED CT code","Core_TBI","SNOMED CT Codes (http: //www.nlm.nih.gov/research/umls/Snomed/snomed_main.html)
",,,,,"C00313","Adult and Pediatric","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History",,"Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History",,"Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History",,"N/A.N/A","Participant/Subject History and Family History.General Health History",,"Core","Core","Core","Core","Core",,"Core","Core","Core",,"Core","Core","Core","Core","Core",,"Supplemental","Core",,"Medical history condition SNOMED CT code",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"MedclHistCondTxt","Medical history condition text","Common Data Element","Verbatim text for the medical condition/disease reported by the participant/subject or documented in the medical record as part of medical history","Verbatim text for the medical condition/disease reported by the participant/subject or documented in the medical record as part of medical history","Alphanumeric",4000,"Free-Form Entry",,,,,,,"ALS/GENERAL/MG/NMD/SMA: Record one Medical History term per line. See the data dictionary for additional information on coding the condition using SNOMED CT
TBI: Recommend collection at least during initial medical treatment. This element is recommended for pediatric studies.
SCI: Document the specific diagnosis for each pre-existing neuro-musculoskeletal condition and document the location/anatomic site if not obvious. Previous surgeries due to any of the conditions should also be documented with this element. Record each condition or surgery on separate lines.
FA: Enter all significant medical history items, including surgeries, EXCEPT the problem/condition that is the focus of this study. Use only one line per description.
STROKE: Record one Medical History term per line. Make sure to record if the following events are in the medical history which are Core items: Any stroke; Ischemic stroke; Hemorrhagic stroke; Hemorrhagic stroke type; 4) Transient ischemic attack (TIA); Carotid stenosis; Epilepsy/ Seizure disorder; Central nervous system infection; Dementia; Head trauma; Head trauma type; Atrial fibrillation (AF)/ flutter; Rheumatic heart disease
MS: Record one Medical History term per line. Document the specific diagnosis for each pre-existing neuro-musculoskeletal condition and document the location/anatomic site if not obvious. Previous surgeries due to any of the conditions should also be documented with this element. Record each condition or surgery on separate lines. Make sure to record if the following events are in the medical history which are Core items: Any stroke; Ischemic stroke; Hemorrhagic stroke; Hemorrhagic stroke type; 4) Transient ischemic attack (TIA); Carotid stenosis; Epilepsy/ Seizure disorder; Central nervous system infection; Dementia; Head trauma; Head trauma type; Atrial fibrillation (AF)/ flutter; Rheumatic heart disease
SCI: Record one Medical History term per line. Make sure to record if the following events are in the medical history which are Core items: Any stroke; Ischemic stroke; Hemorrhagic stroke; Hemorrhagic stroke type; 4) Transient ischemic attack (TIA); Carotid stenosis; Epilepsy/ Seizure disorder; Central nervous system infection; Dementia; Head trauma; Head trauma type; Atrial fibrillation (AF)/ flutter; Rheumatic heart disease","The verbatim text for the medical condition or disease reported in the medical history should be coded using SNOMED CT codes prior to aggregation or sharing. ","Medical history condition text","Core_TBI","ALS/DMD/GENERAL/MG/NMD/SCI/SMA/STROKE/TBI: SNOMED CT Codes (http: //www.nlm.nih.gov/research/umls/Snomed/snomed_main.html)
FA/MG: No references available",,,2003874,,"C00322","Adult and Pediatric","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History",,"Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History",,"Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History","Participant/Subject History and Family History.General Health History",,"N/A.N/A",,,"Core","Core","Core","Core","Core",,"Core","Supplemental","Core",,"Supplemental","Core","Core","Supplemental","Supplemental",,"Supplemental",,,"Medical history condition text",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"PGCSEyeRespnsScore","Pediatric Glasgow Coma Scale (PGCS) - eye response score","Common Data Element","Score for the participant's eye response according to the Pediatric Glasgow Coma Scale (PGCS) if the participant is under the age of 18.","Score for the participant's eye response according to the Pediatric Glasgow Coma Scale (PGCS) if the participant is under the age of 18.","Alphanumeric",,"Single Pre-Defined Value Selected",,,"1;2;3;4;Unknown;Untestable","No eye opening;Eye opening to pain;Eye opening to speech;Eyes open spontaneously;Unknown;Untestable","1;2;3;4;0;555",,"Choose one. Add date and time stamp for when assessed. GCS should be collected as early as possible following injury. In certain sports studies where this is difficult to collect, investigators should justify why they aren't collecting this CDE.",,"Best eye response","Core_TBI","Marcin J and Pollack M. (2002). Triage scoring systems, severity of illness measures, and mortality prediction models in pediatric trauma. Crit Care Med. 30: 457-467.",,,,,"C01020","Pediatric","Assessments and Examinations.Physical/Neurological Examination","Assessments and Examinations.Physical/Neurological Examination",,,,,,,,,,,,,,,"Supplemental","Core","Core","Core","Core",,,,,,,,,,,,,,,"GCS-Pediatric Eye response",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"PGCSMotorRespnsScore","Pediatric Glasgow Coma Scale (PGCS) - motor response score","Common Data Element","Score for the participant's motor response according to the Pediatric Glasgow Coma Scale (PGCS) if the participant is under the age of 18.","Score for the participant's motor response according to the Pediatric Glasgow Coma Scale (PGCS) if the participant is under the age of 18.","Alphanumeric",,"Single Pre-Defined Value Selected",,,"1;2;3;4;5;6;Unknown;Untestable","No motor response;Extension to pain;Flexion to pain;Withdrawal from pain;Localizing pain;Obeys commands;Unknown;Untestable","1;2;3;4;5;6;999;555",,"Choose one. Add date and time stamp for when assessed. GCS should be collected as early as possible following injury. In certain sports studies where this is difficult to collect, investigators should justify why they aren't collecting this CDE.
",,"Motor response","Core_TBI","Marcin J and Pollack M. (2002). Triage scoring systems, severity of illness measures, and mortality prediction models in pediatric trauma. Crit Care Med. 30: S457-S467.",,,,,"C01021","Pediatric","Assessments and Examinations.Physical/Neurological Examination","Disease/Injury Related Events.Classification;Assessments and Examinations.Physical/Neurological Examination",,,,,,,,,,,,,,,"Supplemental","Core","Core","Core","Core",,,,,,,,,,,,,,,"GCS-Pediatric Motor response",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"PGCSTotalScore","Pediatric Glasgow Coma Scale (PGCS) - total score","Common Data Element","Score for the participant's total Pediatric Glasgow Coma Scale (PGCS) score of the 3 tests, eye, motor, and verbal responses. A score of less than  9 would indicate that that participant is in a severe coma while a score of greater than 9 is a mild or no coma at all.","The participant's total Pediatric Glasgow Coma Scale (PGCS) score of 3 tests, eye, motor, and verbal responses. A score of less than  9 would indicate that that participant is in a severe coma; a score of greater than 9 is a mild or no coma at all.","Alphanumeric",,"Single Pre-Defined Value Selected",,,"10;11;12;13;14;15;3;4;5;6;7;8;9;Unknown;Untestable","10;11;12;13;14;15;3;4;5;6;7;8;9;Unknown;Untestable","10;11;12;13;14;15;3;4;5;6;7;8;9;999;555",,"3-15 calculated field. Add date and time stamp for when assessed. GCS should be collected as early as possible following injury. In certain sports studies where this is difficult to collect, investigators should justify why they aren't collecting this CDE.",,"Total score","Core_TBI","Marcin J and Pollack M. (2002). Triage scoring systems, severity of illness measures, and mortality prediction models in pediatric trauma. Crit Care Med. 30: 457-467.",,,,,"C01017","Pediatric","Assessments and Examinations.Physical/Neurological Examination","Assessments and Examinations.Physical/Neurological Examination",,,,,,,,,,,,,,,"Supplemental","Core","Core","Core","Core",,,,,,,,,,,,,,,"GCS-Pediatric Total score",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"PGCSVerbalRespnsScore","Pediatric Glasgow Coma Scale (PGCS) - verbal response score","Common Data Element","Score for the participant's verbal response according to the Pediatric Glasgow Coma Scale (PGCS) if the participant is under the age of 18.","Score for the participant's verbal response according to the Pediatric Glasgow Coma Scale (PGCS) if the participant is under the age of 18.","Alphanumeric",,"Single Pre-Defined Value Selected",,,"1;2;3;4;5;Unknown;Untestable","No vocal response;Inconsolable, agitated;Inconsistently consolable, moaning;Cried, but it consolable, inappropriate interactions;Smiles, oriented to sounds, follows objects, interacts;Unknown;Untestable","1;2;3;4;5;999;555",,"Choose one. Add date and time stamp for when assessed. GCS should be collected as early as possible following injury. In certain sports studies where this is difficult to collect, investigators should justify why they aren't collecting this CDE.",,"Verbal response","Core_TBI","Marcin J and Pollack M. (2002). Triage scoring systems, severity of illness measures, and mortality prediction models in pediatric trauma. Crit Care Med. 30: S457-S467.",,,,,"C01022","Pediatric","Assessments and Examinations.Physical/Neurological Examination","Assessments and Examinations.Physical/Neurological Examination",,,,,,,,,,,,,,,"Supplemental","Core","Core","Core","Core",,,,,,,,,,,,,,,"GCS-Pediatric Verbal response",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"PGOSEScore","Pediatric Glasgow Outcome Scale - Extended (GOS-E Peds) - Score","Common Data Element","Score for the participant, as a part of the Pediatric Glasgow Outcome Scale - Extended (PGOSE).","Score for the participant, as a part of the Pediatric Glasgow Outcome Scale - Extended (PGOSE).","Numeric Values",,"Single Pre-Defined Value Selected",,,"1;2;3;4;5;6;7;8","Upper Good Recovery (Upper GR);Lower Good Recovery (Lower GR);Upper Moderate Disability (Upper MD);Lower Moderate Disability (Lower MD);Upper Severe Disability (Upper SD);Lower Severe Disability (Lower SD);Vegetative State (VS);Death","1;2;3;4;5;6;7;8",,"Note: The scale presented here is not based on the original article. It has become common practice in clinical trial administration to use this modified version that places the scores in reverse order (i.e., good recovery = 1, moderate disability =2, etc.).",,"Glasgow Outcome Scale -Extended, Pediatric Revision","Core_TBI","Beers SR, Wisniewski SR, Garcia-Filion P, Tian Y, Hahner T, Berger RP, Bell MJ, Adelson PD. Validity of a pediatric version of the Glasgow Outcome Scale-Extended. J Neurotrauma. 2012 Apr 10;29(6): 1126-39. Epub 2012 Apr 10.",,,,,"C07434","Pediatric","Outcomes and End Points.Pediatric","Outcomes and End Points.Global Outcome",,,,,,,,,,,,,,,"Core","Core","Core","Core","Core",,,,,,,,,,,,,,,"Glasgow Outcome Scale Extended (GOS-E) Pediatric Revision",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
